"id";"gcq_id";"reverse_coded";"dimension_german";"top_item";"item_text_german";"dimension_explanation_german"
1;1;0;"inhaltliche Spezifizität";1;"Dieses Ziel hat ein klar definiertes Ergebnis oder einen klar definierten Endzustand.";"Inhaltliche Spezifizität beschreibt wie präzise ein Ziel definiert ist. Forschungen von den Organisationspsychologen Latham und Locke haben gezeigt, dass ein präzise definiertes Ziel mit höherer Wahrscheinlichkeit erreicht wird als ein vage definiertes Ziel."
2;10;0;"zeitliche Spezifizität";1;"Dieses Ziel sollte zu einem bestimmten Zeitpunkt erreicht sein.";"Zeitliche Spezifizität beschreibt wie klar der zeitliche Rahmen zur Erreichung eines Zieles definiert ist. Es ist förderlich für die Zielerreichung wenn man sich klare Deadlines setzt. Ebenfalls hilfreich sind „Implementation Intentions“ bei denen man sich schon beim Planen überlegt zu welchem Zeitpunkt man etwas erledigen möchte, idealerweise verknüpft mit einem auslösenden anderen Ereignis."
3;16;0;"hohe Position in Zielhierarchie";1;"Um dieses Ziel zu erreichen, muss ich viele Teilziele erreichen.";"Ein Ziel das hoch in einem Zielsystem steht, ist tendenziell eher abstrakt und umfasst in jedem Fall konkretere Teilziele. Es kann nützlich sein sich zu vergegenwärtigen, dass Ziele miteinander in Beziehung stehen, zumal Ziele um Ressourcen wie Zeit, Aufmerksamkeit und andere mentale Ressourcen konkurrieren.  "
4;19;0;"niedrige Position in Zielhierarchie";1;"Dieses Ziel ist ein Schritt in Richtung eines größeren Ziels.";"Ein Ziel das niedrig in einem Zielsystem steht, ist tendenziell eher konkret und dient in jedem Fall übergeordneten Zielen. Es kann nützlich sein sich zu vergegenwärtigen, dass Ziele miteinander in Beziehung stehen, zumal Ziele um Ressourcen wie Zeit, Aufmerksamkeit und andere mentale Ressourcen konkurrieren.  "
5;22;0;"Kongruenz zu Zielnetzwerk";1;"Dieses Ziel hängt mit anderen Zielen zusammen, an denen ich derzeit in meinem Leben arbeite.";"Die Kongruenz eines Zieles zum Netzwerk von Zielen, die du aktuell verfolgst, gibt an wie gut ein Ziel zu anderen Zielen passt. Das ist deshalb wichtig weil die meisten Menschen mehr (bewusste und unbewusste) Ziele haben, als sie mit ihren Möglichkeiten effektiv verfolgen können. Ein Ziel mit hoher Kongruenz zu anderen Zielen hat eine höhere Wahrscheinlichkeit umgesetzt zu werden."
6;25;0;"Messbarkeit";1;"Es ist einfach zu verfolgen wie weit ich von diesem Ziel entfernt bin.";"Die Messbarkeit des Fortschrittes in Richtung eines Zieles ist ein großer Vorteil bei der Arbeit auf ein Ziel hin. Es kann motivierend sein sich Fortschritte bewusst zu machen und es ist für die Planung nützlich objektiv einschätzen zu können wie der aktuelle Fortschritt ist."
7;33;0;"Annähern vs. Vermeiden";1;"Bei diesem Ziel geht es um etwas, das ich möchte, und nicht um etwas, das ich vermeiden möchte.";"Viele Ziele lassen sich unterschiedlich betrachten. So kann man das Ziel haben sehr gute Noten zu bekommen (sich guten Noten annähern) oder das Ziel schlechte Noten zu vermeiden. Eine positive Orientierung auf etwas, an das man sich annähern möchte, löst oft  positive Gefühle hervor während das Vermeiden von etwas Negativem, Gefühle von beispielsweise Scham hervorrufen kann."
8;39;0;"Erhalten vs. Erreichen";1;"Bei diesem Ziel geht es eher darum, einen Zustand aufrechtzuerhalten, als darum, einen Zustand einmal zu erreichen.";"Es gibt Ziele, die lassen sich erreichen, so wie beispielsweise eine Punktzahl in einer Klausur oder ein Schein. Andere Ziele wie gesunde Ernährung oder Sport zu treiben, sind eher Gewohnheiten, die wir dauerhaft aufrechterhalten müssen. Es ist hilfreich sich diesen Unterschied bewusst zu machen und sich zu überlegen ob man z.B. gute Lerngewohnheiten aufbauen oder „nur“ ein Prüfungsziel erreichen möchte."
9;52;0;"Prozessorientierung vs. Ergebnisorientierung";1;"Bei diesem Ziel konzentriere ich mich mehr auf den Prozess als auf sein Ergebnis.";"Prozessorientierung vs. Ergebnisorientierung beschreibt, worauf sich die Zielformulierung richtet. Oft lassen sich Ziele auf beide Weisen betrachten. Im Falle eines ergebnisorientierten Zieles das uns überfordert (z.B. Mathe bestehen) kann es hilfreich sein das Ziel prozessorientiert umzuformulieren (z.B. Bis zur Klausur jeden Tag 2 Stunden lernen)."
10;58;1;"unmittelbare Umsetzbarkeit";1;"Etwas anderes muss noch passieren, bevor ich an diesem Ziel arbeiten kann.";"Die Unmittelbare Umsetzbarkeit eines Zieles beschreibt, ob es noch Abhängigkeiten von anderen Vorbedingungen gibt. Sollte das der Fall sein, ist es gut sich das klar zu machen und dann entweder die Vorbedingungen zu schaffen oder das Ziel bewusst zu verschieben bis die Umstände stimmen."
11;62;0;"geschätzter Aufwand";1;"Dieses Ziel zu erreichen wird ziemliche Anstrengungen erfordern.";"Der geschätzte Aufwand eines Zieles gibt an wie anstrengend die Arbeit zum Ziel hin voraussichtlich wird. Studien konnten zeigen, dass Ziele die uns fordern, die Leistung steigern können, bis zu dem Punkt der Überforderung. Ein gutes Ziel sollte also möglichst anspruchsvoll sein und uns nicht überfordern."
12;64;1;"Planbarkeit";1;"Es ist schwer einen Plan zu erstellen, um dieses Ziel zu erreichen.";"Die Planbarkeit eines Zieles beschreibt wie gut man in der Lage ist eine Ziel kontrolliert zu verfolgen. Grundsätzlich ist es für die Zielerreichung förderlich zu planen und den Plan kontinuierlich zu pflegen und zu bearbeiten."
13;78;1;"Kontrollierbarkeit";1;"Ob ich dieses Ziel erreichen kann oder nicht, hängt von Dingen außerhalb meiner Kontrolle ab.";"Die Kontrollierbarkeit eines Zieles gibt an, inwiefern der Prozess des Zielstrebens und die Zielerreichung in den eigenen Händen liegt. Persönlichkeitsforscher haben herausgefunden, dass es für die eigene Zufriedenheit und Erfolg im Leben günstig ist, die Kontrolle über das eigene Leben bei sich selbst wahrzunehmen, auch wenn das nicht immer der Realität entspricht. "
14;82;0;"Anspruch";1;"Dieses Ziel bringt mich aus meiner Komfortzone.";"Der Anspruch eines Zieles beschreibt die Schwierigkeit seiner Erreichung. Je anspruchsvoller ein Ziel, desto höher die zu erwartende Leistung, bis zu dem Punkt der Überforderung. Ist ein Ziel zu anspruchsvoll um erreicht zu werden, neigen Menschen dazu, keinen Aufwand darauf zu verwenden."
15;88;0;"definierte Teilziele";1;"Ich habe Teilziele oder Schritte in Richtung dieses Ziels festgelegt.";"Die Anzahl der schon definierten Teilziele gibt an wie gut der Zielverfolgungsprozess vorbereitet ist. Wenn schon klar ist, welche Schritte als nächstes unternommen werden sollen, kann man ohne weiteren Aufwand loslegen."
16;92;0;"soziale Unterstützung";1;"Andere Leute ermutigen mich, dieses Ziel weiter zu verfolgen.";"Die soziale Unterstützung beim Verfolgen eines Zieles kann förderlich sein, sowohl hinsichtlich konkreter Unterstützung durch Hilfe bei der Umsetzung, als auch durch mentale Unterstützung und Rückendeckung."
17;98;0;"informationale Voraussetzungen";1;"Ich habe die notwendigen Informationen um an diesem Ziel zu arbeiten.";"Informationelle Voraussetzungen beschreibt das Vorliegen der notwendigen Informationen für den Zielerreichungsprozess. Insbesondere bei Zielen im Bereich Bildung und Forschung sind Informationen essentiell. Der Austausch mit Anderen und das Erschließen von Informationsquellen kann zielförderlich sein."
18;101;0;"instrumentelle Voraussetzungen";1;"Ich habe die notwendigen Materialien und Ausrüstung, um dieses Ziel zu erreichen.";"Instrumentelle Voraussetzungen sind solche, die Materialien und Ausrüstung umfassen. Im Falle eines Studiums ist beispielsweise ein Computer unerlässlich. Sind die instrumentellen Voraussetzungen nicht gegeben, so sollten sie zunächst geschaffen werden."
19;108;0;"Finanzierbarkeit";1;"Ich kann mir die Kosten für die Erreichung dieses Ziels finanziell leisten.";"Finanzielle Voraussetzungen betreffen das nötige Kleingeld, dass die Arbeit an einem Ziel möglicherweise erfordert. Sollte es an Liquidität mangeln, so gilt es Geldquellen zu erschließen."
20;114;0;"Sichtbarkeit";1;"Mein Fortschritt in Richtung dieses Ziels ist für andere beobachtbar.";"Die Sichtbarkeit eines Zieles bzw. des Zielstrebensprozesses gibt an, wie transparent derselbe durch andere Menschen ist. Sichtbarkeit kann ein Vorteil sein, beispielsweise wenn sie zu Zuspruch und Unterstützung führt, kann jedoch auch ein Nachteil sein, etwa wenn ein prestigeträchtiges Ziel schon vor seiner Erreichung durch Aufmerksamkeit belohnt wird und dann weniger Bearbeitung erfährt."
21;116;1;"zeitliche Ressourcen";1;"Ich bin mir nicht sicher, ob ich genug Zeit habe, um an diesem Ziel zu arbeiten.";"Zeitliche Voraussetzungen sind für fast alle menschlichen Ziele erforderlich und Zeit ist eine für alle Menschen limitierte Ressource. Die Priorisierung von Zielen kann helfen zu entscheiden, welche Ziele verfolgt werden und welche aufgegeben werden sollten. Die Konzentration auf wesentliche Ziele kann die zeitlichen Voraussetzungen enorm verbessern. "
22;69;0;"Kompetenzangemessenheit";1;"Ich habe alle notwendigen Fertigkeiten, um dieses Ziel zu erreichen.";"Kompetenzangemessenheit beschreibt, inwiefern ein Ziel unseren Fähigkeiten entspricht. Insbesondere bei Bildungszielen geht es darum über sich hinaus zu wachsen. Andererseits sollten Überforderungen vermieden werden. Hier gilt es also Balance zu halten und sich selbst auch mal was zuzutrauen."
23;124;0;"Sellbstkongruenz";1;"Dieses Ziel stimmt mit meinem Lebensgefühl überein.";"Selbstkongruenz beschreibt, inwiefern ein Ziel mit dem Selbstbild und dem eigenen Lebensgefühl übereinstimmt. Ein hoher Wert begünstigt, dass wir aus uns selbst heraus Aufwand in die Zielerreichung zu stecken, bereit sind."
24;130;0;"Wertekongruenz";1;"Dieses Ziel ist in Übereinstimmung mit meinem idealen Selbst.";"Wertekongruenz beschreibt, inwiefern ein Ziel mit den eigenen Werten und Idealvorstellungen übereinstimmt. Das Verfolgen von wertekongruenten Zielen kann unabhängig von der tatsächlichen Erreichung des Zieles Zufriedenheit fördern. Ziele mit niedriger Wertekongruenz sollten auf den Prüfstand gestellt werden."
25;134;0;"Wichtigkeit";1;"Das Erreichen dieses Ziels ist mir wichtig.";"Wichtigkeit ist ein guter Indikator bei der Priorisierung von Zielen. Ein Ziel mit niedriger Wichtigkeit hingegen kann zugunsten wichtiger Ziele aufgegeben werden oder mit minimalem Aufwand bearbeitet werden."
26;141;1;"Bewusstheit";1;"Dieses Ziel wurde mir kürzlich erst bewusst.";"Bewusstheit beschreibt, inwiefern ein Ziel klar repräsentiert ist. Unter den vielen Zielen die wir im Laufe des Tages verfolgen gibt es auch viele Unbewusste. Es kann sich lohnen darauf zu achten welche Ziele man eigentlich unbewusst verfolgt, um diese auf den Prüfstand stellen oder ganz bewusst verfolgen zu können."
27;144;0;"Vitalität/Vigor";1;"Ich fühle mich voller Energie und Lebendigkeit, wenn ich über dieses Ziel nachdenke.";"Vitalität / Vigor beschreibt, inwiefern ein Ziel einen Menschen affektiv beschäftigt. Ziele mit einem hohen Wert haben das Potential viel Zufriedenheit zu erzeugen und mentale Ressourcen für die Zielverfolgung zu mobilisieren."
28;150;0;"langfristige Utilität";1;"Dieses Ziel ist wichtig für meine Zukunft.";"Langfristige Utilität beschreibt, inwiefern ein Ziel langfristig nützlich ist. Es scheint Teil des menschlichen Reifungsprozesses zu sein, dass mit zunehmender Erfahrung der langfristige Nutzen von Handlungen und Entscheidung zunehmend stärker gewichtet wird."
29;;0;"negative Utilität";1;"Das Erreichen dieses Ziels hat auch negative Folgen.";"Negative Utilität gibt an, inwiefern ein Ziel beziehungsweise die Arbeit daran, auch negative Konsequenzen nach sich zieht. Diese negativen Konsequenzen bewusst zu berücksichtigen ist hilfreich bei der Priorisierung und bei der Entscheidung für oder gegen ein Ziel."
30;158;0;"kurzfristige Utilität";1;"Wenn ich dieses Ziel erreiche, wird es sich sofort auszahlen.";"Kurzfristige Utilität beschreibt, inwiefern ein positiver Nutzen sich unmittelbar einstellt. Es scheint eine Schwäche der menschlichen Psyche zu sein, kurzfristigen Nutzen intuitiv sehr hoch zu bewerten, ein Extrembeispiel sind Genussmittel mit kurzfristig sehr positiven und mittel- bis langfristig destruktiven Konsequenzen."
32;163;0;"relative Utilität";1;"Dieses Ziel hat viele Vorzüge gegenüber meinen anderen Zielen.";"Relative Utilität beschreibt die Nützlichkeit eines Zieles relativ zu anderen Zielen. Diese Eigenschaft kann nützlich sein beim Priorisieren von Zielen und beim Zuweisen von Ressourcen wie Zeit und Aufmerksamkeit für ein Ziel."
33;166;0;"Utilität für persönliches Wachstum";1;"Dieses Ziel wird mir helfen als Person zu wachsen.";"Die Utilität eines Zieles für das persönliche Wachstum gibt an, inwiefern ein Ziel die eigene Entwicklung fördern kann. Im Studium ist es ein erwünschter Effekt, dass die vielen Stöckchen, über die wir springen sollen, uns sozusagen als Nebeneffekt als Person reifen lassen."